top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,5.38183575515942e-05,0.0,0.07626175880432129
1,ggpp,0,5,3,0.0016032214563577918,0.0,0.09650152921676636
1,DE_fixed,0,5,800,0.0005076015281148772,0.0,0.21532273292541504
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4600,0.016522409189470098,0.0,0.20065826177597046
1,DE_seq_stop,0,5,12260,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.05712365591397849,0.24465054211822604,-0.05891519784927368
1,ggpp,0,5,3,0.0946236559139785,0.2890648263178879,-0.041358351707458496
1,DE_fixed,0,5,800,0.2446236559139785,0.43067655807339306,-0.10931432247161865
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2400,0.2446236559139785,0.43067655807339306,-0.10931432247161865
1,DE_seq_stop,0,5,13180,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.04386975940066273,0.0,-0.025578439235687256
1,ggpp,0,5,2,0.009651169002297049,0.0,-0.031984925270080566
1,DE_fixed,0,5,800,0.046034261565164894,0.0,-0.048089802265167236
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3400,0.49841521394611726,0.6309297535714575,-0.00030410289764404297
1,DE_seq_stop,0,5,12880,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.026777777777777775,0.0,-0.22525012493133545
1,ggpp,0,5,6,0.07592307692307693,0.26264953503719357,0.11537149548530579
1,DE_fixed,0,5,800,0.033482758620689654,0.0,-0.0686275064945221
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3800,0.0036296296296296294,0.0,0.13354068994522095
1,DE_seq_stop,0,5,13760,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0005020290340124671,0.0,0.0011350512504577637
1,ggpp,0,5,4,0.0037492150081076775,0.0,-0.007470190525054932
1,DE_fixed,0,5,800,0.0025765796273529693,0.0,0.03308284282684326
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,5100,0.0024169655387494154,0.0,-0.05878102779388428
1,DE_seq_stop,0,5,18260,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
